Id,SalePrice
2658,160600.8617709941
2718,150144.6252594912
2414,217288.97342952422
1989,107880.63424992232
625,174191.54610133823
333,82689.66693631647
1327,96638.47721359809
858,150533.48938009498
95,178728.86051463053
1568,170188.95406565507
2482,158418.99846672398
1364,134025.55516982707
2584,146618.91429354952
818,266064.0985076623
2673,169166.83913078465
2089,122777.91400215392
1297,130247.29288715051
790,117949.61766138287
2616,173912.35013367212
720,184689.20833997047
222,146372.15959982213
557,125593.88015259865
1148,196886.9286243927
2766,184988.62583607453
534,175661.21326833154
1452,118932.32451895766
630,117829.89802021992
2648,131394.67503013555
125,160820.48171970417
1904,34924.79073786191
1670,98066.00230396137
756,91203.51108294408
717,217934.24327652884
1032,159569.99838155124
852,202703.61859262508
1731,181836.1460092539
2639,121189.91374560389
2071,108670.56435144831
1267,115655.91066162245
1851,185677.2629118965
567,172034.73944713466
2439,204682.808346897
1898,150334.77452722617
647,155740.76576660282
2256,216533.70920760432
979,90585.26260017656
1444,203501.22730368937
2485,128597.03618062288
157,130796.0290834528
88,125674.23398413294
2003,113704.68695448349
186,201720.47137724335
1425,227056.95378195733
2695,130194.90690613056
738,102553.60355273797
395,150970.542722504
1353,174187.29290709988
1878,132039.59995357608
390,163818.92507298422
1456,223003.79012800314
1103,317292.2621731444
1387,144437.38862597503
2070,146246.20902751593
1199,171757.9250738742
2479,169868.71038284045
501,319054.95665153826
2362,81750.0001494935
1718,222066.6606182099
2188,79802.8452500279
1483,149701.00690751855
2557,93604.62545791999
437,382860.2638867018
2224,224903.00428122416
1628,160279.63650187344
397,130658.83249539323
587,214633.32310411282
971,148671.7899034707
2611,126865.86463972979
1887,101828.37268145371
2399,389496.1215454839
2148,184483.0343766855
304,141402.4841874365
1997,109547.1143318067
2817,100169.98521111647
1431,207858.45969804015
427,370320.6544543387
263,124022.11970576945
598,190307.1774954804
2895,232742.3775599067
687,125074.99427829764
1822,130983.8112718639
2191,101977.64380645413
179,112192.84750772743
1009,227538.9626887932
2010,124872.40618777297
1991,130937.37899008094
1411,203756.03712542536
1721,225338.42714499478
1144,189204.26551548025
593,210408.78539136812
575,337217.3503700416
1249,174539.91131684976
1604,113571.68679631999
1064,501025.30835648644
1923,159196.20697736126
1988,105222.09876642656
2325,159460.23403191773
114,209049.1180226993
2700,160968.0536821445
217,148433.02367626864
343,174331.66421756777
386,217721.7543591605
2005,132471.77212187563
2908,144992.47824456065
1814,244742.94015712658
2446,495988.118020012
208,108391.75915072471
1679,107324.2215526666
822,350070.15707917575
6,193928.34059763257
1781,418238.62713498564
2397,311719.3172452051
2340,325718.8121294887
1618,176146.13399034028
2843,155350.80524806358
1061,367954.380445744
2786,115051.30254024138
1935,140372.5199385006
1341,102547.97589447143
521,251579.88526063965
2136,127519.14323868288
996,211499.9910853287
227,148288.39306564315
135,186279.01286990326
1167,175578.62666601315
294,222602.80376327448
